                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.326,                0.80204,                 1.2161,                0.92923,                0.89954,                0.95104,                0.59023,                 1.3841,                   0.75,                 1.3134,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3389,                 0.7913,                 1.2206,                0.92301,                0.90329,                0.96081,                0.61279,                 1.3585,                0.71396,                  1.299,              0.0013268,              0.0013268,              0.0013268
                     37,                  1.318,                0.80768,                 1.2101,                0.91999,                0.93379,                0.96445,                0.60426,                 1.3877,                0.69286,                 1.3241,               0.001307,               0.001307,               0.001307
                     38,                  1.306,                0.79949,                 1.1945,                0.90841,                0.92466,                 0.9676,                0.60798,                 1.3907,                0.71409,                 1.3296,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.2919,                0.77234,                 1.1928,                0.93628,                0.90183,                 0.9641,                0.60595,                 1.3565,                0.69346,                 1.3012,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.2779,                0.78003,                 1.2072,                0.95613,                0.93151,                0.97763,                0.62874,                 1.3221,                 0.6606,                 1.2714,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2736,                0.77156,                 1.1857,                0.92641,                0.88584,                 0.9544,                0.61013,                  1.366,                0.71304,                 1.2998,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3119,                0.79874,                  1.204,                0.92648,                0.90411,                 0.9641,                0.60925,                 1.3746,                0.71861,                 1.3127,               0.001208,               0.001208,               0.001208
                     43,                 1.2835,                0.76713,                  1.181,                0.93184,                0.93635,                0.97127,                0.61737,                  1.335,                0.68462,                 1.2961,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2596,                0.75591,                 1.1745,                0.93048,                0.92694,                0.96999,                0.61271,                 1.3628,                0.67587,                 1.3127,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2528,                0.75181,                 1.1679,                0.91824,                0.94292,                0.97156,                 0.6328,                 1.3262,                0.67045,                 1.2791,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.2409,                0.73697,                 1.1689,                0.94804,                0.89954,                0.96073,                0.59566,                 1.3748,                0.70141,                 1.2846,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2333,                0.72979,                 1.1578,                0.93053,                0.94801,                0.97123,                0.63444,                 1.3193,                0.65965,                 1.2699,               0.001109,               0.001109,               0.001109
                     48,                 1.2079,                0.70268,                 1.1373,                0.93478,                0.91781,                0.96379,                 0.6098,                 1.3783,                0.69868,                 1.3109,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.2454,                0.73874,                 1.1725,                0.95864,                0.92009,                0.97194,                0.61198,                 1.3636,                0.66875,                 1.3064,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.2251,                0.71018,                 1.1463,                0.94791,                0.92922,                0.97293,                0.62023,                 1.3622,                0.66573,                 1.3087,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2069,                0.72191,                 1.1465,                0.90824,                0.92651,                0.95653,                0.62299,                 1.3052,                0.66264,                 1.2753,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.1942,                0.68638,                 1.1509,                0.94852,                0.94749,                0.98046,                0.63613,                 1.2896,                0.62917,                 1.2713,                0.00101,                0.00101,                0.00101
                     53,                 1.2251,                0.71025,                 1.1494,                0.95748,                0.91096,                0.97384,                0.63737,                 1.3303,                0.65762,                 1.2748,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2022,                0.70135,                 1.1339,                0.93682,                0.94977,                0.97443,                0.64108,                 1.2937,                0.63619,                 1.2624,              0.0009704,              0.0009704,              0.0009704
                     55,                  1.208,                0.69326,                 1.1438,                0.91814,                0.93379,                0.96967,                0.62873,                 1.3109,                0.64351,                 1.2539,              0.0009506,              0.0009506,              0.0009506
